t,S,I,R
8.992107319297396,647,227,126
8.99284438572358,646,228,126
9.001673654941168,645,229,126
9.013006723561766,644,230,126
9.028286144970906,643,231,126
9.030353239265843,642,232,126
9.046115031657505,641,233,126
9.052321213126715,640,234,126
9.058804564450547,639,235,126
9.06172544445654,639,234,127
9.063840559055308,638,235,127
9.06441662583581,637,236,127
9.06493445938718,636,237,127
9.085907704048912,635,238,127
9.094321360407784,635,237,128
9.100135516691404,635,236,129
9.115728735995237,634,237,129
9.11876027111222,633,238,129
9.13341653512263,632,239,129
9.13393418054061,631,240,129
9.137666504417375,630,241,129
9.14112280366316,629,242,129
9.142822895840478,628,243,129
9.148111054516898,627,244,129
9.172955099350583,626,245,129
9.181122908645388,626,244,130
9.184403560241668,625,245,130
9.205511066356534,624,246,130
9.206232267979743,623,247,130
9.229738587400078,622,248,130
9.242457296928977,621,249,130
9.244026155199455,620,250,130
9.253824312360655,619,251,130
9.26326759733674,618,252,130
9.263270101898575,618,251,131
9.27231547709937,617,252,131
9.276992156264571,616,253,131
9.29953087291753,616,252,132
9.309155138321918,615,253,132
9.309640379369714,615,252,133
9.313078955284656,615,251,134
9.329153518857723,614,252,134
9.34496765818199,613,253,134
9.34809753741686,612,254,134
9.348713187871903,611,255,134
9.349827006305015,611,254,135
9.369881476261014,610,255,135
9.374669367709028,609,256,135
9.386387451552885,609,255,136
9.389835065920046,609,254,137
9.396190731981658,608,255,137
9.399564326742045,608,254,138
9.412512343855152,607,255,138
9.41891670904484,607,254,139
9.420842384523041,606,255,139
9.423889562458687,606,254,140
9.433070006446036,605,255,140
9.435217935256981,604,256,140
9.435889868140647,603,257,140
9.436642662704893,602,258,140
9.444466071339885,602,257,141
9.445012021392117,602,256,142
9.449981301691755,602,255,143
9.453742779899123,601,256,143
9.4538297772886,601,255,144
9.456426099824652,600,256,144
9.477114324203006,599,257,144
9.48487238496637,598,258,144
9.48655692562328,598,257,145
9.494017137146628,598,256,146
9.495148661971115,597,257,146
9.500432843123281,596,258,146
9.500898720819023,595,259,146
9.511660624678202,595,258,147
9.514275648359432,595,257,148
9.514660749304767,594,258,148
9.517266365038902,594,257,149
9.533318687755054,594,256,150
9.542340597710353,593,257,150
9.542456015343916,592,258,150
9.545470435725,591,259,150
9.55535379488697,591,258,151
9.55678255169561,590,259,151
9.557633536340871,589,260,151
9.573546151549191,588,261,151
9.593491585213238,588,260,152
9.594935780588461,587,261,152
9.599016346030488,587,260,153
9.602273414125992,587,259,154
9.626914439099103,587,258,155
9.634421815508171,587,257,156
9.63989549239855,586,258,156
9.642369952935226,586,257,157
9.662667412346234,585,258,157
9.671356475242128,584,259,157
9.673017955581178,583,260,157
9.686870411207051,582,261,157
9.698952732881978,581,262,157
9.706356041366295,580,263,157
9.74732415839608,579,264,157
9.75537856569468,578,265,157
9.765239064401772,577,266,157
9.771518540806548,577,265,158
9.778974421614038,577,264,159
9.79136575652873,577,263,160
9.808616676946256,576,264,160
9.811913668497375,576,263,161
9.812046513513302,576,262,162
9.812582900848067,576,261,163
9.85847397318092,575,262,163
9.859086349134873,575,261,164
9.863232101918873,574,262,164
9.866417578998433,573,263,164
9.878674017944487,572,264,164
9.88129468928379,571,265,164
9.884111715803225,570,266,164
9.892695063719852,569,267,164
9.905025443484732,568,268,164
9.908117425262112,568,267,165
9.911168224423449,567,268,165
9.91870760975101,566,269,165
9.918977248258177,565,270,165
9.920381679459414,565,269,166
9.935828507739888,564,270,166
9.946033780103578,563,271,166
9.949767737982402,563,270,167
9.95266433285563,562,271,167
9.953709246583838,561,272,167
9.953820412182795,560,273,167
9.963971226609715,560,272,168
9.972273396419173,560,271,169
9.977814982523828,559,272,169
9.983710475217347,558,273,169
9.994113813324748,557,274,169
9.994578287986904,556,275,169
9.994982554792356,556,274,170
10.0068172079187,556,273,171
10.00913140508046,556,272,172
10.017302884683232,555,273,172
10.018303166890451,554,274,172
10.033672924186893,553,275,172
10.034663927954167,552,276,172
10.041421639619703,551,277,172
10.077561197181899,550,278,172
10.09798807177049,549,279,172
10.106039036349294,548,280,172
10.11300308674162,548,279,173
10.113183542782615,548,278,174
10.121697168144772,547,279,174
10.128867870102283,546,280,174
10.1310743634118,545,281,174
10.136530481745366,544,282,174
10.139159895282495,544,281,175
10.156666132386958,543,282,175
10.156897295216817,542,283,175
10.164786025859115,542,282,176
10.178388260908212,541,283,176
10.185520109422436,540,284,176
10.189345550363678,539,285,176
10.198257522205754,538,286,176
10.20190357343451,538,285,177
