id,arrival,start,finish,wait_time,service_time
33,41.62165226663721,45.8246116638791,46.35014258445585,4.202959397241884,0.525530920576756
32,41.075350408403665,45.76624408293789,47.076030276412446,4.690893674534223,1.309786193474558
35,43.2109131723922,47.076030276412446,47.5643764242456,3.8651171040202428,0.48834614783315544
34,42.259181189225714,46.35014258445585,47.84368765556911,4.0909613952301385,1.4935450711132603
37,46.14560779296951,47.84368765556911,49.58351890453754,1.6980798625996059,1.7398312489684287
36,45.35268621772801,47.5643764242456,52.403918124049895,2.211690206517595,4.839541699804293
38,48.860039698791745,49.58351890453754,52.990352268380526,0.7234792057457966,3.406833363842985
40,50.35826885149527,52.990352268380526,53.82165508751175,2.6320834168852585,0.8313028191312242
41,52.96197822449703,53.82165508751175,54.33122247322352,0.8596768630147196,0.5095673857117688
42,54.56609776792658,54.56609776792658,55.18640899636045,0.0,0.6203112284338701
39,49.36715413961523,52.403918124049895,56.50247150760596,3.036763984434664,4.098553383556066
44,56.365628688018994,56.50247150760596,57.208195848015876,0.13684281958696687,0.7057243404099154
45,58.043182063739444,58.043182063739444,58.31192803415694,0.0,0.26874597041749837
43,54.970819902879676,55.18640899636045,59.72870455150809,0.21558909348077293,4.542295555147639
47,62.014091189412945,62.014091189412945,65.09550251187065,0.0,3.081411322457704
48,62.89373798824384,65.09550251187065,65.94336896105845,2.2017645236268066,0.847866449187805
49,64.48911558625039,65.94336896105845,66.00215658802487,1.4542533748080615,0.0587876269664207
46,60.053590672544495,60.053590672544495,66.25365488979618,0.0,6.200064217251686
50,71.6394745738439,71.6394745738439,76.54258122608648,0.0,4.903106652242585
51,73.48105063571381,73.48105063571381,76.63524970489402,0.0,3.1541990691802084
52,75.13416295030062,76.54258122608648,78.69225749181444,1.4084182757858628,2.1496762657279618
53,75.43915175120722,76.63524970489402,80.29396982461465,1.1960979536868024,3.658720119720627
54,76.8456475311067,78.69225749181444,81.35590765303633,1.8466099607077382,2.663650161221881
56,84.54046538023812,84.54046538023812,85.43731554023604,0.0,0.8968501599979248
57,85.43671085657867,85.43731554023604,86.85950975658587,0.0006046836573716519,1.4221942163498227
55,84.43925400786016,84.43925400786016,90.1539674354481,0.0,5.714713427587938
59,89.13345635257599,90.1539674354481,90.27287716154173,1.0205110828721047,0.1189097260936336
60,89.34529285913138,90.27287716154173,93.91094142440427,0.9275843024103523,3.6380642628625424
61,92.35980967835778,93.91094142440427,94.67748717670953,1.5511317460464937,0.7665457523052623
58,88.75431647681815,88.75431647681815,95.2130778338892,0.0,6.4587613570710545
63,93.42754967506838,95.2130778338892,96.2291084752117,1.7855281588208243,1.0160306413225015
64,93.90866461206957,96.2291084752117,97.9398196600904,2.320443863142131,1.71071118487869
65,94.23276195823995,97.9398196600904,100.39056577391867,3.707057701850445,2.4507461138282736
66,96.16702984650058,100.39056577391867,101.44400165655772,4.223535927418084,1.0534358826390502
67,96.5560961327119,101.44400165655772,102.46094411928101,4.8879055238458164,1.0169424627232928
62,92.62882153096564,94.67748717670953,102.48625981633232,2.0486656457438954,7.808772639622788
68,96.8923520036099,102.46094411928101,102.84173630012062,5.568592115671109,0.380792180839606
69,98.08876651654529,102.48625981633232,103.46264559955941,4.39749329978703,0.9763857832270872
70,98.13494747971596,102.84173630012062,104.00084411447494,4.706788820404654,1.1591078143543285
72,101.42016715937558,104.00084411447494,104.28117492719811,2.5806769550993636,0.2803308127231645
71,99.14853418525063,103.46264559955941,104.88532041789259,4.314111414308783,1.4226748183331779
73,102.27934723024107,104.28117492719811,105.15894497050043,2.0018276969570366,0.8777700433023199
75,102.83498163616316,105.15894497050043,105.371729061353,2.3239633343372645,0.21278409085256555
76,103.24590422882913,105.371729061353,105.66368697371337,2.125824832523861,0.29195791236037394
77,105.70610449261844,105.70610449261844,106.26948585938383,0.0,0.5633813667653982
74,102.47635628895546,104.88532041789259,106.54679601734091,2.4089641289371286,1.6614755994483232
79,105.72112288977493,106.54679601734091,107.8900250323206,0.8256731275659774,1.3432290149796842
